accel_variance,gyro_variance,accel_sma,gyro_sma,accel_dom_freq,gyro_dom_freq,activity_code,activity_name
0.014963683029549361,0.004132668759580021,0.3285156454403808,0.1271825463365529,1.0,1.0,3,Still
7.237458530828399e-05,1.0442804786936963e-06,0.06643792533592283,0.0033118544088209345,6.0,13.5,3,Still
5.372659305797958e-05,1.066204873130793e-06,0.058671321978184955,0.0034000841967643564,6.0,2.5,3,Still
5.6871657768450925e-05,9.382302574878852e-07,0.05789843841187035,0.0034838490595573935,12.5,7.0,3,Still
7.652986747887837e-05,9.426868983878199e-07,0.058056633187766285,0.003356426885002147,6.5,18.5,3,Still
7.986375029972683e-05,0.0006421439445437341,0.05883088668159403,0.00727125635370597,2.5,24.0,3,Still
0.00015673151162028353,0.0009066878500315296,0.06104438212091204,0.013132650191691776,13.0,0.5,3,Still
0.00015123552199681619,0.0002870999583555106,0.062005772033022336,0.00927235048206042,13.0,0.5,3,Still
5.49681841985727e-05,8.709027540569211e-07,0.06021187006099158,0.003367115657310774,19.5,15.0,3,Still
7.4343563009257e-05,8.570801975568118e-07,0.06637990583014988,0.003305618765734688,25.0,3.0,3,Still
6.113301408212156e-05,1.0241750369088422e-06,0.0605843100104405,0.0034966859499398558,0.5,18.0,3,Still
6.157055838495409e-05,9.721996779058187e-07,0.06206891409684027,0.003670357428490966,10.5,18.5,3,Still
7.872446417672198e-05,7.474507510989138e-07,0.06575053937542075,0.003243808366241715,24.0,18.0,3,Still
9.304558006514539e-05,7.120228349844099e-07,0.06615661810296342,0.003133819893409812,0.5,21.5,3,Still
8.046597861633815e-05,8.967459105223981e-07,0.06704429761282713,0.003386067851388214,1.5,7.0,3,Still
7.10966953727422e-05,1.0105843271922715e-06,0.06257971170188542,0.0035122523552853103,12.0,7.0,3,Still
7.766094351878667e-05,1.0593478041473079e-06,0.058997248004607004,0.0034756924590327184,25.0,16.0,3,Still
8.216203340164903e-05,6.173879434768805e-07,0.07204844800828869,0.0033053059488882693,25.0,15.0,3,Still
7.163814453925854e-05,6.684331610633752e-07,0.06442903662385731,0.0035126632521858847,9.0,9.5,3,Still
